After_taken_pixel,CPU,RAM,ROM,S5G,inner_href,name,phone_name,pic,price,resolution
6400万像素,麒麟985,8GB,128GB,支持5G,https://item.jd.com/10024696984098.html,华为（HUAWEI）华为nova8（5G）,,https://img13.360buyimg.com/n7/jfs/t1/220354/20/14465/183981/622d600bEe611d6b6/2217bcd82b805f70.jpg,3399.00,其他
4800万像素,天玑720,6GB,128GB,支持5G,https://item.jd.com/100017444956.html,OPPOK7x,,https://img11.360buyimg.com/n7/jfs/t1/159001/13/28184/124895/623532e3Eaa0c2deb/28f584bfa8e67ecc.jpg,1199.00,高清HD+
1300万像素,其他,4GB,64GB,不支持5G,https://item.jd.com/100015197405.html,小米Redmi 9A,,https://img10.360buyimg.com/n7/jfs/t1/136205/10/7310/56308/5f3dee56E034ab78c/ffc11f69acf791e5.jpg,599.00,其他
1300万像素,其他,8GB,128GB,不支持5G,https://item.jd.com/10030394643494.html,荣耀畅玩20 手机 5000mAh超大电池续航 6.5英寸大屏 极光蓝 8GB+128GB,,https://img14.360buyimg.com/n7/jfs/t1/172773/16/18135/139866/60e408e5E32c16483/4d4a58f93d2dd31a.jpg,1139.00,高清HD+
无后置摄像头,紫光展锐,其他,其他,不支持5G,https://item.jd.com/100010892311.html,飞利浦E506,,https://img11.360buyimg.com/n7/jfs/t1/112313/39/25913/144448/62427914Efa5f35b4/77a8f22d0d9d7f16.jpg,239.00,其他
其他,其他,其他,32GB,不支持5G,https://item.jd.com/10043695474920.html,纽曼（Newman）M40,,https://img10.360buyimg.com/n7/jfs/t1/93005/6/23264/164186/621f1ebfEa0d20794/52edda1ece2b63c0.jpg,399.00,其他
未知后摄像素,骁龙778G,12GB,256GB,支持5G,https://item.jd.com/100014566383.html,vivoiQOO Z5,,https://img13.360buyimg.com/n7/jfs/t1/211545/22/15213/96208/61d7dc7cEb6941d6b/36540768686c9e93.jpg,1909.00,其他
6400万像素,骁龙768G,8GB,128GB,支持5G,https://item.jd.com/100020431930.html,OPPOK9,,https://img10.360buyimg.com/n7/jfs/t1/207690/20/17560/105360/620f7518E5debac90/d394cd5bb6178b00.jpg,1589.00,全高清FHD+
1600万像素,暂无型号,其他,128GB,不支持5G,https://item.jd.com/10027835481023.html,朵唯（DOOV）U50 Pro 全网通4G智能手机128G大内存水滴屏人脸指纹双解锁智能游戏学生手机 D11冰海绿128GB,,https://img13.360buyimg.com/n7/jfs/t1/135665/29/21051/65348/61ee26adE2678b176/e6a95aee5560615d.jpg,619.00,未知分辨率
1200万像素,其他,4GB,128GB,支持5G,https://item.jd.com/10021442026923.html,AppleiPhone 12,,https://img13.360buyimg.com/n7/jfs/t1/206556/28/19126/408523/622c5335Ec64d7938/4727494490567eab.png,4999.00,其他
